2006,1,93,14.0
2006,1,103,21.0
2006,1,57,21.0
2006,1,69,25.0
2005,1,15,31.0
2005,1,19,41.0
2005,1,43,36.0
2005,1,49,40.0
2005,1,55,39.0
2005,1,71,32.0
2005,1,95,31.0
2005,1,33,31.0
2005,1,77,28.0
2005,1,79,30.0
2005,1,83,31.0
2005,1,89,31.0
2005,1,93,33.0
2005,1,103,33.0
2005,1,61,41.0
2005,1,69,32.0
2004,1,85,25.0
2004,1,105,28.0
2004,1,3,31.0
2004,1,53,33.0
2004,1,99,34.0
2004,1,15,39.0
2004,1,19,40.0
2004,1,43,42.0
2004,1,49,39.0
2004,1,55,41.0
2004,1,71,34.0
2004,1,95,30.0
2004,1,33,35.0
2004,1,59,30.0
2004,1,77,31.0
2004,1,79,36.0
2004,1,83,40.0
2004,1,89,35.0
2004,1,93,38.0
2004,1,103,33.0
2004,1,57,37.0
2004,1,121,37.0
2004,1,125,44.0
2004,1,39,27.0
2004,1,61,36.0
2004,1,67,30.0
2004,1,69,29.0
2003,1,3,31.0
2003,1,53,33.0
2003,1,15,41.0
2003,1,19,40.0
2003,1,43,36.0
2003,1,49,39.0
2003,1,55,41.0
2003,1,71,33.0
2003,1,95,27.0
2003,1,77,37.0
2003,1,79,37.0
2003,1,83,39.0
2003,1,89,36.0
2003,1,93,40.0
2003,1,103,35.0
2003,1,57,29.0
2003,1,121,35.0
2003,1,61,33.0
2003,1,69,32.0
2016,1,85,0.0
2016,1,105,0.0
2016,1,119,0.0
2016,1,3,0.0
2016,1,53,0.0
2016,1,99,0.0
2016,1,9,0.0
2016,1,19,0.0
2016,1,43,0.0
2016,1,49,0.0
2016,1,55,0.0
2016,1,71,0.0
2016,1,33,0.0
2016,1,77,0.0
2016,1,79,0.0
2016,1,83,0.0
2016,1,89,0.0
2016,1,103,0.0
2016,1,21,0.0
2016,1,57,0.0
2016,1,121,0.0
2016,1,125,0.0
2016,1,5,0.0
2016,1,39,0.0
2016,1,61,0.0
2016,1,69,0.0
2016,1,109,0.0
2016,1,11,0.0
2016,1,51,0.0
2016,1,63,0.0
2016,1,87,0.0
2016,1,101,0.0
2016,1,129,0.0
2016,1,15,0.0
2016,1,95,0.0
2016,1,59,0.0
2016,1,117,0.0
2016,1,127,0.0
2016,1,31,0.0
2016,1,67,0.0
2016,1,1,0.0
2016,1,91,0.0
2016,1,35,0.0
2016,1,41,0.0
2016,1,75,0.0
2016,1,107,0.0
2016,1,97,0.0
2016,1,93,0.0
