1,65,-87.623,32.753
1,109,-85.942,31.799
1,93,-87.882,34.138
1,35,-86.989,31.431
1,97,-88.197,30.685
1,107,-88.097,33.297
1,75,-88.087,33.787
1,11,-85.717,32.102
1,51,-86.143,32.597
1,63,-87.964,32.844
1,87,-85.693,32.387
1,101,-86.204,32.204
1,129,-88.198,31.405
1,15,-85.823,33.772
1,95,-86.322,34.31
1,59,-87.843,34.442
1,117,-86.678,33.263
1,127,-87.301,33.792
1,31,-85.99,31.402
1,67,-85.24,31.517
1,1,-86.646,32.532
1,91,-87.791,32.248
1,69,-85.296,31.158
1,61,-85.821,31.092
1,41,-86.319,31.733
1,5,-85.405,31.87
1,85,-86.651,32.148
1,105,-87.294,32.639
1,119,-88.2,32.597
1,3,-87.746,30.659
1,53,-87.168,31.122
1,99,-87.383,31.58
1,9,-86.566,33.977
1,19,-85.654,34.07
1,43,-86.869,34.132
1,39,-86.449,31.244
1,55,-86.034,34.048
1,71,-85.98,34.764
1,33,-87.801,34.703
1,49,-85.804,34.461
1,79,-87.322,34.53
1,83,-86.981,34.81
1,125,-87.523,33.29
1,89,-86.551,34.764
1,121,-86.176,33.369
1,103,-86.846,34.454
1,21,-86.727,32.854
1,57,-87.764,33.716
1,77,-87.651,34.904
